kind,old_path,new_path,n_content_subs,warnings
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation.log,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation.log,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results.json,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results.json,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results_couples.csv,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results_couples.csv,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results_singles_female.csv,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results_singles_female.csv,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results_singles_male.csv,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_results_singles_male.csv,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_summary.txt,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/estimation_summary.txt,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/identification_diagnostics.txt,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/identification_diagnostics.txt,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/specification_used.yaml,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-02-16/specification_used.yaml,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_f_contours.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_f_contours.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_f_mu.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_f_mu.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_m_contours.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_m_contours.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_m_mu.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_cou_m_mu.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_elasticities.csv,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_elasticities.csv,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_fit_mean_hours.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_fit_mean_hours.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_fit_participation.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_fit_participation.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_couples_female.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_couples_female.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_couples_male.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_couples_male.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_singles_female.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_singles_female.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_singles_male.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_singles_male.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_total.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_hours_distribution_total.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_muc_comparison.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_muc_comparison.png,,
rename,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_mul_comparison.png,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-38-45/fr_2016_ruro_occ_gamspy_mul_comparison.png,,
