sheet,variable,label,description,monetary_variable,applicable_observations,weighted_number,weighted_mean,weighted_sd,min,max
income,ypp,INCOME : Private Pension,income received from pensions from individual private plans,1,0,0,0,0,0,0
income,ypr,INCOME : Property,income from rent,1,0,0,0,0,0,0
income,yprrt,income : property : rent,,1,0,0,0,0,0,0
income,ypt,INCOME : Private Transfers,regular inter-household cash transfers received,1,0,0,0,0,0,0
income,yse,INCOME : Self Employment,self-employment income,1,664,2927924.4951324463,2126.865892605503,1503.457175695018,152.68890380859375,4427.97802734375
income,ysemy,INCOME : Self Employment : Months per Year,number of months while receiving self-employment income,0,664,2927924.4951324463,12,0,12,12
labour,lcs,LABOUR MARKET : Civil Servant 1 yes 0 no,civil servant,0,0,0,0,0,0,0
labour,les,LABOUR MARKET : Economic Status 0 Pre-school 1 Farmer 2 Employer or self-employed 3 Employee 4 Pensioner 5 Unemployed 6 Student 7 Inactive 8 Sick or Disabled 9 Other,"basic labour information on the self-declared current activity status and current main job, including information on last main job for unemployed",0,6843,59567916.753707886,4.156824597177811,1.3871456535527313,2,7
labour,lfs,LABOUR MARKET : Firm size,number of persons working at the local unit,0,7482,63155144.39457703,15,0,15,15
labour,lhw,LABOUR MARKET : Hours worked per week,"number of hours usually worked per week in main job and in second, third... Jobs",0,3408,25218606.123703003,38,0,38,38
labour,lindi,"LABOUR MARKET : Industry (NACE) 1 Agriculture 2 Industry 3 Services 0 Not appl : Detailed Industry 1: Agriculture and Fishing 2: Mining, Manifact. and Utilities 3: Construction 4: Wholesale and retail 5: Hotels and restaurants 6: Transport and communication 7: Financial intermediation 8: Real estate and business 9: Public administ. and defence 10: Education 11: Health and social work 12: Other",economic activity of the main job for respondents who are currently at work,0,7482,63155144.39457703,4,0,4,4
labour,liwmy,LABOUR MARKET : In work : Months per year,number of months spent in full-time work and/or in part-time work,0,3408,25218606.123703003,12,0,12,12
labour,liwwh,LABOUR MARKET : In work : Work history (length of time in months),number of months spent in paid work,0,5436,47617139.01567078,258.5599300831504,197.47485214383914,120,540
labour,liwwh28_h,labour market : in work : work history (length of time in months) : 28 : HHoT extensions,,0,7482,63155144.39457703,4,0,4,4
labour,lnu,labour market : new unemployed,,0,0,0,0,0,0,0
labour,loc,LABOUR MARKET : Occupation (ISCO 1-Digit) 0 Armed forces 1 Senior officials and managers 2 Professionals 3 Technicians and associate professionals 4 Clerks 5 Service and sales workers 6 Skilled agricultural 7 Craft and trades workers 8 Plant and machine operators 9 Elementary occupations -1 Not Applicable,occupation,0,7482,63155144.39457703,5,0,5,5
labour,lunmy,LABOUR MARKET : Unemployed : Months per year,number of months spent in unemployment,0,58,3240785.017578125,12,0,12,12
personal,dag,DEMOGRAPHIC : Age,dag = age,0,7482,63155144.39457703,40.23085404403121,21.070576484913055,0,70
personal,ddi,DEMOGRAPHIC : Disability 0: Not disabled 1: Disabled -1: not applicable (individual younger than 16),ddi = 1 if pl031 == 8 ddi = 0 if pl031 != 8 & pl031 != . ddi = -1 if pl031 == . & pb030 == . replace ddi=1 if ddi==. & (ph020==1 | ph030==1) *Imputation : if missing ==> not disable (not other information) replace ddi=0 if ddi==.,0,7482,63155144.39457703,0,0,0,0
personal,dec,DEMOGRAPHIC : Education - Current Status 0: Not in Education 1: Pre-primary 2: Primary 3: Lower Secondary 4: Upper Secondary 5: Post Secondary 6: Tertiary,"gen temp_pe020 = pe020 recode temp_pe020 (10 = 1) (20 = 2) (30/39 = 3) (40/49 = 4) (50/80 = 5) gen dec = temp_pe020 recode dec (0=1) (1=2) (2=3) (3=4) (4=5) (5=6) replace dec = 0 if pe010 == 2 * Current education of individuals younger than 16 must be imputed according to the country system // [TO DO]! replace * the years with the proper ones in your country and uncomment the following lines replace dec = 1 if rx010 < 6 & dec == . replace dec = 2 if rx010 >= 6 & rx010 <= 10 & dec == . replace dec = 3 if rx010 > 10 & rx010 <= 14 & dec == . replace dec = 4 if rx010 > 14 & rx010 <= 16 & dec == . replace dec=3 if dec==. & pe010==1 & pe020==2 replace dec=5 if dec==. & pe010==1 & pe020==3 replace dec=6 if dec==. & pe010==1 & pe020==5 * replace remaining missing values with ""0: not in education"" replace dec=0 if dec==. & pe010==1 replace dec=0 if dec==.",0,2046,15538005.37890625,2.9674346789718773,1.4865810783627218,1,6
personal,deh,DEMOGRAPHIC : Education - Highest Status 0: Not completed Primary 1: Primary 2: Lower Secondary 3: Upper Secondary 4: Post Secondary 5: Tertiary,gen temp_pe040 = pe040 recode temp_pe040 (100 = 1) (200 = 2) (300/399 = 3) (400/499 = 4) (500/800 = 5) gen deh = temp_pe040 replace deh = 0 if (dec == 1 | dec == 2) & deh == . * Highest education achieved by children must be imputed according to the country system // replace deh = 0 if rx010 <= 10 & deh == . replace deh = 1 if rx010 > 10 & rx010 <= 14 & deh == . replace deh = 2 if rx010 > 14 & pb030 == . & deh == . * and/or according to the current education status replace deh = 0 if deh == . & dec <= 2 replace deh = dec - 2 if deh == . & dec > 2,0,6843,59567916.753707886,2.6733825896431376,0.7392941884938916,1,3
personal,dgn,DEMOGRAPHIC : Gender 0: Female 1: Male,dgn = rb090 recode dgn (2=0),0,7482,63155144.39457703,0.48477791785368585,0.4997682384565547,0,1
personal,dms,DEMOGRAPHIC : Marital Status 1: Single 2: Married 3: Separated 4: Divorced 5: Widowed,"dms = pb190 recode dms (5=4) (4=5) individuals with missing marital status and without a partner are considered as single replace dms = 1 if dms == . & idpartner == 0 * individuals with missing marital status and with a partner are assigned their partner's marital status (if non-missing) tempfile temp_save sort idhh idperson save `temp_save' keep idhh idpartner dms keep if idpartner != 0 rename idpartner idperson rename dms partner_dms sort idhh idperson merge idhh idperson using `temp_save' qui count if _merge == 1 if (r(N)>0) di in y ""Warning _merge should only be 2 (those without a partner or partner not matched) or 3 (those with a partner matched). No. of problematic observations:"" r(N) drop if _merge == 1 replace dms = partner_dms if dms == . & idpartner > 0 & partner_dms != . * if partner's marital status also missing then assume that the couple is cohabiting but not married (i.e. single) replace dms = 1 if dms == . & idpartner > 0 & partner_dms == .",0,7482,63155144.39457703,1.539329557071773,0.49845078982237717,1,2
personal,drg01,"""zone"" for APL",gen drg01 = . replace drg01 = 2 if db100==1 | db100==2 | drgn2==22 // Zone II (Corsica & cities over 100.000) replace drg01 = 1 if drgn2==1 // Zone I (Ile de France) replace drg01 = 3 if drg01 ==.,0,7482,63155144.39457703,1,0,1,1
personal,drgmd,DEMOGRAPHIC : Region : Middle density 0: No middle density region 1: Middle region,drgmd = 1 if db100 == 2 drgmd = 0 if db100 != 2 & db100 !=. & db100 !=-1,0,0,0,0,0,0,0
