year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,ED0-2,educL,0,0.36,Y20-64,14
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,ED3_4,educM,1,0.247,Y20-64,14
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,ED5-8,educH,2,0.059000000000000004,Y20-64,14
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,TOTAL,educALL,-1,0.251,Y20-64,14
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,ED0-2,educL,0,0.266,Y20-64,14
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,ED3_4,educM,1,0.18,Y20-64,14
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,ED5-8,educH,2,0.053,Y20-64,14
2008,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,TOTAL,educALL,-1,0.195,Y20-64,14
2009,0,FR,France,0,F,ED0-2,educL,0,0.133,Y20-64,0
2009,0,FR,France,0,F,ED3_4,educM,1,0.092,Y20-64,0
2009,0,FR,France,0,F,ED5-8,educH,2,0.054000000000000006,Y20-64,0
2009,0,FR,France,0,F,TOTAL,educALL,-1,0.08800000000000001,Y20-64,0
2009,0,FR,France,1,M,ED0-2,educL,0,0.138,Y20-64,0
2009,0,FR,France,1,M,ED3_4,educM,1,0.076,Y20-64,0
2009,0,FR,France,1,M,ED5-8,educH,2,0.054000000000000006,Y20-64,0
2009,0,FR,France,1,M,TOTAL,educALL,-1,0.085,Y20-64,0
2009,1,FR1,Ile de France,0,F,ED0-2,educL,0,0.106,Y20-64,1
2009,1,FR1,Ile de France,0,F,ED3_4,educM,1,0.075,Y20-64,1
2009,1,FR1,Ile de France,0,F,ED5-8,educH,2,0.053,Y20-64,1
2009,1,FR1,Ile de France,0,F,TOTAL,educALL,-1,0.07200000000000001,Y20-64,1
2009,1,FR1,Ile de France,1,M,ED0-2,educL,0,0.141,Y20-64,1
2009,1,FR1,Ile de France,1,M,ED3_4,educM,1,0.079,Y20-64,1
2009,1,FR1,Ile de France,1,M,ED5-8,educH,2,0.054000000000000006,Y20-64,1
2009,1,FR1,Ile de France,1,M,TOTAL,educALL,-1,0.085,Y20-64,1
2009,2,FRB,Centre — Val de Loire,0,F,ED0-2,educL,0,0.1,Y20-64,2
2009,2,FRB,Centre — Val de Loire,0,F,ED3_4,educM,1,0.06,Y20-64,2
2009,2,FRB,Centre — Val de Loire,0,F,ED5-8,educH,2,0.04,Y20-64,2
2009,2,FRB,Centre — Val de Loire,0,F,TOTAL,educALL,-1,0.064,Y20-64,2
2009,2,FRB,Centre — Val de Loire,1,M,ED0-2,educL,0,0.1,Y20-64,2
2009,2,FRB,Centre — Val de Loire,1,M,ED3_4,educM,1,0.053,Y20-64,2
2009,2,FRB,Centre — Val de Loire,1,M,ED5-8,educH,2,,Y20-64,2
2009,2,FRB,Centre — Val de Loire,1,M,TOTAL,educALL,-1,0.06,Y20-64,2
2009,3,FRC,Bourgogne-Franche-Comté,0,F,ED0-2,educL,0,0.122,Y20-64,3
2009,3,FRC,Bourgogne-Franche-Comté,0,F,ED3_4,educM,1,0.077,Y20-64,3
2009,3,FRC,Bourgogne-Franche-Comté,0,F,ED5-8,educH,2,0.038,Y20-64,3
2009,3,FRC,Bourgogne-Franche-Comté,0,F,TOTAL,educALL,-1,0.076,Y20-64,3
2009,3,FRC,Bourgogne-Franche-Comté,1,M,ED0-2,educL,0,0.11599999999999999,Y20-64,3
2009,3,FRC,Bourgogne-Franche-Comté,1,M,ED3_4,educM,1,0.066,Y20-64,3
2009,3,FRC,Bourgogne-Franche-Comté,1,M,ED5-8,educH,2,0.052000000000000005,Y20-64,3
2009,3,FRC,Bourgogne-Franche-Comté,1,M,TOTAL,educALL,-1,0.076,Y20-64,3
2009,4,FRD,Normandie,0,F,ED0-2,educL,0,0.135,Y20-64,4
2009,4,FRD,Normandie,0,F,ED3_4,educM,1,0.086,Y20-64,4
2009,4,FRD,Normandie,0,F,ED5-8,educH,2,0.048,Y20-64,4
2009,4,FRD,Normandie,0,F,TOTAL,educALL,-1,0.08800000000000001,Y20-64,4
2009,4,FRD,Normandie,1,M,ED0-2,educL,0,0.132,Y20-64,4
