hh,year,status,tudef,joint_dispy_abs_diff,clean_joint_dispy,stored_joint_dispy,ils_ben_max_abs,ils_tax_max_abs,ils_origy_max_abs,ils_sicdy_max_abs,localised_to
100000010900,2015,PASS,0,0.0,2950.8595249182117,2950.8595249182117,0.0,0.0,0.0,0.0,
100000011200,2015,FAIL,0,412.6873572053328,4340.049031823,4752.736389028333,333.08000000000004,1.6654000000000053,0.0,0.0,ils_ben
100000011500,2015,PASS,0,0.0,2107.9714172090326,2107.9714172090326,0.0,0.0,0.0,0.0,
100000012300,2015,PASS,0,0.0,3747.7656568759917,3747.7656568759917,0.0,0.0,0.0,0.0,
100000012600,2015,FAIL,0,129.3499999999999,3049.3750653563334,2920.0250653563335,130.0,0.6500000000000057,0.0,0.0,ils_ben
100000012800,2015,PASS,0,0.0,2936.8248861477323,2936.8248861477323,0.0,0.0,0.0,0.0,
100000012900,2015,FAIL,0,558.6595321323603,5464.560937088532,6023.2204692208925,333.08,58.054932132360875,0.0,0.0,ils_ben
100000013800,2015,FAIL,0,154.89715148054347,4343.584674875176,4498.481826355719,333.08,176.51744851945662,0.0,0.0,ils_ben
100000014000,2015,FAIL,0,192.8535800105892,6239.012716775664,6431.866296786253,130.0,62.85358001058887,0.0,0.0,ils_ben
100000014500,2015,PASS,0,0.0,3920.251901147998,3920.251901147998,0.0,0.0,0.0,0.0,
100000015100,2015,FAIL,0,331.41460000000006,4976.181264453733,5307.595864453733,333.08,1.6654000000000053,0.0,0.0,ils_ben
100000015200,2015,FAIL,0,224.89999999999964,7534.504777500502,7759.404777500502,0.0,224.89999999999986,0.0,0.0,ils_tax
100000015600,2015,FAIL,0,243.0147861960063,3568.9602634228,3325.9454772267936,130.0,113.0147861960061,0.0,0.0,ils_ben
100000015800,2015,FAIL,0,185.83709858406655,3073.20108983747,3259.0381884215367,130.0,56.48709858406656,0.0,0.0,ils_ben
100000016600,2015,FAIL,0,169.51507772951663,4350.861854382532,4520.376932112049,333.08,161.89952227048406,0.0,0.0,ils_ben
100000017100,2015,FAIL,0,110.9966666666669,4989.810872432339,5100.807539099006,0.0,110.9966666666665,0.0,0.0,ils_tax
100000017200,2015,FAIL,0,391.85255833333304,5346.317613337666,5738.1701716709995,333.08,1.6654000000000053,0.0,0.0,ils_ben
100000017600,2015,PASS,0,0.0,5540.223676375672,5540.223676375672,0.0,0.0,0.0,0.0,
100000018700,2015,FAIL,0,497.1517500000009,6718.801977759826,7215.9537277598265,499.6500000000001,2.4982499999999845,0.0,0.0,ils_ben
100000019600,2015,FAIL,0,691.2410009899891,3552.7443387540775,4243.985339744067,666.2,3.330999999999996,0.0,0.0,ils_ben
